Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
"$17,140",13.8C.2.20,13621902775728,WILLOW CREEK DR,Polk,911-Undevelped Land,9-Taxable,.44,13R04,R-1,LOT 717 PLOTTING IV,8-Electric,-,-
"$1,710",13.8C.2.21,13621902775849,CREEK DR,Polk,912-Non-Perk,9-Taxable,.44,13R04,R-1,LOT 718 PLOTTING IV,8-Electric,-,-
"$17,280",13.8C.2.22,13621902775949,WILLOW CREEK DR,Polk,911-Undevelped Land,9-Taxable,.45,13R04,R-1,LOT 719 SEC IV,8-Electric,-,-
"$17,420",13.8C.2.23,13621902785049,CREEK DR,Polk,911-Undevelped Land,9-Taxable,.46,13R04,R-1,LOT 720 SEC IV,8-Electric,-,-
"$19,620",13.93127,13623803320712,ASHLEY CT,Polk,911-Undevelped Land,9-Taxable,.34,13R08,R-2,LOT I 15,8-Electric,-,-
"$14,150",14.116961,14639504526150,ST MORITZ CT,Price,911-Undevelped Land,9-Taxable,.56,14R04,R2,LOT 11F SEC 2,8-Electric,-,-
"$24,960",14.117047,14730402576769,LENAPE RD,Price,911-Undevelped Land,9-Taxable,.46,14R05,R2,LOT 36 SEC G,8-Electric,-,-
"$29,550",14.3C.1.104,14730701276184,HIGH CREST RD,Price,911-Undevelped Land,9-Taxable,.97,14R06,RR,LOT 815 SEC IV,8-Electric,-,-
"$31,200",14.3C.1.11,14639702958389,BLUE RIDGE DR,Price,913-Developments,9-Taxable,1.20,14R06,RR,LOT 307 SEC II,8-Electric,-,-
"$30,180",14.3C.1.112,14730701378071,HIGH CREST RD,Price,911-Undevelped Land,9-Taxable,1.03,14R06,RR,LOT 911 SEC IV,8-Electric,-,-
"$30,000",14.3C.1.118,14730701265883,HIGH CREST RD,Price,913-Developments,9-Taxable,1.00,14R06,RR,LOT 905 SEC IV,8-Electric,-,-
"$30,000",14.3C.1.125,14730701266498,FERN DR,Price,911-Undevelped Land,9-Taxable,1.00,14R06,RR,LOT 945 SEC IV,8-Electric,-,-
"$31,860",14.3C.1.147,14730701471376,FOREST DR,Price,913-Developments,9-Taxable,1.31,14R06,RR,LOT 623 SEC V,8-Electric,-,-
"$31,740",14.3C.1.152,14730701474316,FOREST DR,Price,913-Developments,9-Taxable,1.29,14R06,RR,LOT 625 SEC V,8-Electric,-,-
"$30,000",14.3C.1.171,14730702561858,DOGWOOD LN,Price,913-Developments,9-Taxable,1.00,14R06,RR,LOT 923 SEC V,8-Electric,-,-
"$30,360",14.3C.1.179,14730702560276,DOGWOOD LN,Price,911-Undevelped Land,9-Taxable,1.06,14R06,RR,LOT 1206 SEC V,8-Electric,-,-
"$30,420",14.3C.1.184,14730701464233,BLUE RIDGE DR,Price,913-Developments,9-Taxable,1.07,14R06,RR,LOT 934 SEC VI,8-Electric,-,-
"$30,000",14.3C.1.188,14730701369194,189 FERN DR,Price,913-Developments,9-Taxable,1.00,14R06,RR,LOT 1106 SEC VI,8-Electric,-,-
"$31,620",14.3C.1.189,14730701460428,FERN DR,Price,913-Developments,9-Taxable,1.27,14R06,RR,LOT 937 SEC VI,8-Electric,-,-
"$30,600",14.3C.1.202,14730701258683,311 BLUE RIDGE DR,Price,913-Developments,9-Taxable,1.10,14R06,RR,LOT 1608 SEC VI,8-Electric,-,-
"$31,380",14.3C.1.204,14730701350578,321 BLUE RIDGE DR,Price,913-Developments,9-Taxable,1.23,14R06,RR,LOT 1609 SEC VI,8-Electric,-,-
"$30,000",14.3C.1.206,14730701353769,321 BLUE RIDGE DR,Price,913-Developments,9-Taxable,1.00,14R06,RR,LOT 1111 SEC VI,8-Electric,-,-
"$29,700",14.3C.1.213,14730701359964,349 BLUE RIDGE DR,Price,913-Developments,9-Taxable,.98,14R06,RR,LOT 1108 SEC VI,8-Electric,-,-
"$25,800",14.3C.1.48,14730701162940,FOREST DR,Price,913-Developments,9-Taxable,.72,14R06,RR,LOT 507 SEC III,8-Electric,-,-
"$30,060",14.3C.1.64,14730701274739,FOREST DR,Price,911-Undevelped Land,9-Taxable,1.01,14R06,RR,LOT 610 SEC IV,8-Electric,-,-
"$30,120",14.3C.1.83,14730701273405,FOREST DR,Price,913-Developments,9-Taxable,1.02,14R06,RR,LOT 711 SEC III,8-Electric,-,-
"$1,550",14.5.1.7-4,14730503048851,SOUTH OF T 529,Price,911-Undevelped Land,9-Taxable,.03,14R01,RR, ,8-Electric,-,-
"$3,120",14.6A.1.106,14730402564640,LENAPE DR,Price,912-Non-Perk,9-Taxable,.75,14R05,R2,LOT 24 SEC G,8-Electric,-,-
"$33,490",14.6A.1.147,14730402663497,INDIAN WAY,Price,911-Undevelped Land,9-Taxable,.86,14R05,R2,"LOTS 8,9 SEC J",9-None,-,-
"$24,960",14.6A.1.91,14730402565256,LENAPE DR,Price,911-Undevelped Land,9-Taxable,.46,14R05,R2,LOT 21 SEC G,8-Electric,-,-
"$29,330",14.6A.2.27,14730402675280,LENAPE DR,Price,911-Undevelped Land,9-Taxable,.66,14R05,R2,LOT 1 SEC F,8-Electric,-,-
"$13,500",14.8A.1.103,14639503321932,STOWE CT,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 122,8-Electric,-,-
"$6,800",14.8A.1.129,14639504526251,ST MORITZ CT,Price,911-Undevelped Land,9-Taxable,.51,14R04,R2,LOT 12F,8-Electric,-,-
"$13,500",14.8A.1.13,14639504522547,TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 11C,8-Electric,-,-
"$1,560",14.8A.1.132,14639504528373,ST MORITZ CT,Price,911-Undevelped Land,9-Taxable,.69,14R04,R2,LOT 4F,8-Electric,-,-
"$1,440",14.8A.1.133,14639504528445,ST MORITZ CT,Price,912-Non-Perk,9-Taxable,.58,14R04,R2,LOT 3F,8-Electric,-,-
"$13,720",14.8A.1.136,14639503439482,N CORTINA CT,Price,911-Undevelped Land,9-Taxable,.52,14R04,R2,LOT 22E,8-Electric,-,-
"$16,740",14.8A.1.137,14639503436529,N CORTINA CT,Price,913-Developments,9-Taxable,.80,14R04,R2,LOT 18E,8-Electric,-,-
"$14,040",14.8A.1.139,14639503439115,N CORTINA CT,Price,911-Undevelped Land,9-Taxable,.55,14R04,R2,LOT 13E,8-Electric,-,-
"$1,340",14.8A.1.142,14639504520971,SOUTH CORTINA CT,Price,912-Non-Perk,9-Taxable,.49,14R04,R2,LOT 2E,8-Electric,-,-
"$13,500",14.8A.1.22,14639503429495,S CORTINA CT,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 6E,8-Electric,-,-
"$13,500",14.8A.1.25,14639503428813,S CORTINA CT,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 10E,8-Electric,-,-
"$14,690",14.8A.1.27,14639503438778,N CORTINA CT,Price,911-Undevelped Land,9-Taxable,.61,14R04,R2,LOT 20E,8-Electric,-,-
"$18,900",14.8A.1.46,14639504524357,105 TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,1.00,14R04,R2,"LOTS 9B,10B",8-Electric,-,-
"$1,400",14.8A.1.49,14639504526324,ST MORITZ CT,Price,912-Non-Perk,9-Taxable,.55,14R04,R2,LOT 13F,8-Electric,-,-
"$12,560",14.8A.1.5,14639504531469,TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,.43,14R04,R2,LOT 3C,8-Electric,-,-
"$12,690",14.8A.1.52,14639503338105,BROMLEY RD,Price,911-Undevelped Land,9-Taxable,.44,14R04,R2,LOT 201,8-Electric,-,-
"$13,500",14.8A.1.6,14639504524223,TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 11B,8-Electric,-,-
"$12,960",14.8A.1.68,14639503423964,TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,.46,14R04,R2,LOT 6D,8-Electric,-,-
"$13,720",14.8A.1.79,14639504530568,PRIVATE DR,Price,911-Undevelped Land,9-Taxable,.52,14R04,R2,LOT 2C,8-Electric,-,-
"$1,590",14.8A.1.85,14639504527585,ST MORITZ CT,Price,912-Non-Perk,9-Taxable,.72,14R04,R2,LOT F 2 PLOTTING II,8-Electric,-,-
"$13,930",14.8A.1.86,14639503428428,S CORTINA CT,Price,911-Undevelped Land,9-Taxable,.54,14R04,R2,LOT 7E PLOTTING II,8-Electric,-,-
"$11,610",14.8A.1.9,14639503439699,PRIVATE DR,Price,911-Undevelped Land,9-Taxable,.36,14R04,R2,LOT 1C,8-Electric,-,-
"$13,500",14.8A.1.97,14639504534282,TIMBER HILL RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 2B,8-Electric,-,-
"$6,750",14.8B.1.104,14639503348666,152 INVERHOUSE RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 2205 PLOTTING IV,8-Electric,-,-
"$13,610",14.8B.1.107,14639503346941,162 MAGIC MOUNTAIN RD,Price,913-Developments,9-Taxable,.51,14R04,R2,LOT 2202 SEC IV,8-Electric,-,-
"$1,320",14.8B.1.108,14639503345978,162 INVERHOUSE RD,Price,912-Non-Perk,9-Taxable,.48,14R04,R2,LOT 2201 SEC IV,8-Electric,-,-
"$13,500",14.8B.1.110,14639501353182,375 MAGIC MOUNTAIN RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 2302 PLOTTING IV,8-Electric,-,-
"$1,350",14.8B.1.120,14639501256816,371 MAGIC MOUNTAIN RD,Price,912-Non-Perk,9-Taxable,.50,14R04,R2,LOT 2406 PLOTTING IV,8-Electric,-,-
"$1,470",14.8B.1.121,14639501255922,371 MAGIC MOUNTAIN RD,Price,912-Non-Perk,9-Taxable,.61,14R04,R2,LOT 2407 SEC IV,8-Electric,-,-
"$7,020",14.8B.1.139,14639501359049,BROKEN SKI RD,Price,911-Undevelped Land,9-Taxable,.55,14R04,R2,SEC IV,8-Electric,-,-
"$18,790",14.8B.1.166,14639501366141,1132 BUCKLE BOOT RD,Price,911-Undevelped Land,9-Taxable,.99,14R04,R2,"LOT 1704,1705 PLOT IV",8-Electric,-,-
"$1,340",14.8B.1.2,14639501158678,339 WOBBLY BARN RD,Price,912-Non-Perk,9-Taxable,.49,14R04,R2,LOT 2801 SEC AIV,8-Electric,-,-
"$13,610",14.8B.1.27,14639503331715,317 WOBBLY BARN RD,Price,913-Developments,9-Taxable,.51,14R04,R2,LOT 3103 SEC IV,8-Electric,-,-
"$13,610",14.8B.1.28,14639503332706,317 WOBBLY BARN RD,Price,911-Undevelped Land,9-Taxable,.51,14R04,R2,LOT 3102 SEC IV,8-Electric,-,-
"$1,460",14.8B.1.3,14639501158598,317 WOBBLY BARN RD,Price,912-Non-Perk,9-Taxable,.60,14R04,R2,LOT 2802 SEC IV,8-Electric,-,-
"$13,720",14.8B.1.33,14639503238918,123 WOBBLY BARN RD,Price,911-Undevelped Land,9-Taxable,.52,14R04,R2,LOT 3007 PLOT IV,8-Electric,-,-
"$1,840",14.8B.1.34,14639503236996,123 WOBBLY BARN RD,Price,912-Non-Perk,9-Taxable,.95,14R04,R2,LOT 3008 PLOTTONG IV,8-Electric,-,-
"$13,370",14.8B.1.35,14639503246057,123 WOBBLY BARN RD,Price,911-Undevelped Land,9-Taxable,.49,14R04,R2,LOT 3009 SEC IV,8-Electric,-,-
"$1,360",14.8B.1.4,14639501159428,262 WOBBLY BARN RD,Price,912-Non-Perk,9-Taxable,.51,14R04,R2,LOT 2803 SEC IV,8-Electric,-,-
"$13,820",14.8B.1.40,14639503244674,262 WOBBLY BARN RD,Price,911-Undevelped Land,9-Taxable,.53,14R04,R2,LOT 2610,8-Electric,-,-
"$13,500",14.8B.1.45,14639501252188,605 WOBBLY BARN RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 2709 PLOTTING IV,8-Electric,-,-
"$1,360",14.8B.1.78,14639503247373,5123 SUN VALLEY RD,Price,912-Non-Perk,9-Taxable,.51,14R04,R2,LOT 3003 SEC IV,8-Electric,-,-
"$6,750",14.8B.1.79,14639503248223,5123 SUN VALLEY RD,Price,911-Undevelped Land,9-Taxable,.50,14R04,R2,LOT 3004,8-Electric,-,-
"$1,390",14.8B.1.80,14639503248154,387 SUN VALLEY RD,Price,912-Non-Perk,9-Taxable,.54,14R04,R2,LOT 3005 PLOT IV,8-Electric,-,-
"$14,690",14.8B.1.87,14639503342713,284 POWDER HORN RD,Price,911-Undevelped Land,9-Taxable,.61,14R04,R2,LOT 2518 SEC IV,8-Electric,-,-
"$25,880",14.91589,14730400465515,SOUTH RIDGE NORTH DR,Price,911-Undevelped Land,9-Taxable,.15,14R02,R1,COMMUNITY MAIL BOX AREA,8-Electric,-,-
"$29,520",14.9A.1.80,14639601396039,SPRING LN,Price,911-Undevelped Land,9-Taxable,3.01,14R03,RR,LOT 315 PLOT III,8-Electric,-,-
$950,15.112734.1T,15624704945290T1,VISTA CIR,Ross,141-Mobile Homes/Parks,9-Taxable, ,15R01M, ,LOT 71,8-Electric,5-WELL,6-SEPTIC
"$16,190",15.2A.2.11,15626602864580,222 HOOVER DR,Ross,911-Undevelped Land,9-Taxable,.26,15R06,RR,LOT 17,8-Electric,-,-
"$17,480",15.2A.2.14,15626602866542,OFF LR 45006,Ross,911-Undevelped Land,9-Taxable,.40,15R06,RR,LOT 31,-,-,8-Electric
"$7,500",15.2A.2.18,15626602869543,OFF LR 45006,Ross,911-Undevelped Land,9-Taxable,.13,15R06,RR,LOT 43,-,-,8-Electric
"$21,160",15.2A.2.24,15626602864989,LR 45006,Ross,913-Developments,9-Taxable,.80,15R06,RR, ,-,-,8-Electric
"$16,280",15.2A.2.25,15626602866929,LR 45006,Ross,913-Developments,9-Taxable,.27,15R06,RR, ,-,-,8-Electric
"$11,320",15.2A.2.5,15626602865545,OFF LR 45006,Ross,911-Undevelped Land,9-Taxable,.14,15R06,RR,LOT 19,-,-,8-Electric
"$18,000",15.3.1.37,15626703111383,RT 378,Ross,911-Undevelped Land,9-Taxable,2.00,15R05,R-1, ,-,-,8-Electric
"$9,100",15.4.2.28,15627709056971,HAMILTON SOUTH,Ross,911-Undevelped Land,9-Taxable,.32,15R01,R-2, ,6-Septic,5-WELL,8-Electric
"$12,250",16.10.2.11-13,16731201257559,CROCUS DR,Smithfield,911-Undevelped Land,9-Taxable,.20,16R04,R2, ,8-Electric,3-PUBLIC SEWER,-
"$12,250",16.10.2.21-7,16731201159646,ROSEWOOD LN,Smithfield,911-Undevelped Land,9-Taxable,.20,16R04,R2,INC 16/10/2/20,8-Electric,-,-
"$24,150",16.10B.1.10,16731201175522,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.61,16R03,R2,LOTS 17G & 18G,8-Electric,-,-
"$22,200",16.10B.1.15,16731201068882,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.48,16R03,R2,LOTS 2E & 3E,8-Electric,-,-
"$19,500",16.10B.1.22,16731201177638,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.30,16R03,R2,LOT 15G,8-Electric,-,-
"$20,100",16.10B.1.24,16731201178518,HIGHLAND TE,Smithfield,911-Undevelped Land,9-Taxable,.34,16R03,R2,LOT 6G,8-Electric,-,-
"$2,010",16.10B.1.40,16731201161635,BEAVER DR,Smithfield,911-Undevelped Land,9-Taxable,.34,16R03,R2, ,8-Electric,-,-
"$22,650",16.10B.1.62,16731201079083,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.51,16R03,R2,LOTS 4E & 5E,8-Electric,-,-
"$21,600",16.10B.1.68,16731201187014,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.44,16R03,R2,LOT 302 PLOTTING IV,8-Electric,-,-
"$2,030",16.10B.1.73,16731201068544,BEAVER LN,Smithfield,912-Non-Perk,9-Taxable,.35,16R03,R2,LOT 3B,8-Electric,5-WELL,6-SEPTIC
"$20,550",16.10B.1.86,16731201174413,DOGWOOD TE,Smithfield,911-Undevelped Land,9-Taxable,.37,16R03,R2,LOT 19G,8-Electric,-,-
$360,16.10B.1.97,16731201179830,N OF HIGHLAND TE,Smithfield,911-Undevelped Land,9-Taxable,.12,16R03,R2,LOT P/O LOT 8G,8-Electric,-,-
"$29,260",16.119402,16733201187760,SUNRISE CT,Smithfield,913-Developments,9-Taxable,.27,16R06,R1,LOT 77 STAGE IA,1-All Public,-,-
"$22,500",16.11B.1.17,16730202976606,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.50,16R03,R1,LOT 402,8-Electric,-,-
"$24,000",16.11B.1.19,16730202974463,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.60,16R03,R1,LOT 507,8-Electric,-,-
"$22,500",16.11B.1.4,16730202975568,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.50,16R03,R1,LOT 401,8-Electric,-,-
"$22,800",16.11B.1.74,16730202973740,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.52,16R03,R1,LOT 211,8-Electric,-,-
"$22,800",16.11B.1.75,16730202973779,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.52,16R03,R1,LOT 210,8-Electric,-,-
"$23,400",16.11B.1.82,16730202986467,WILLIAMSON DR,Smithfield,911-Undevelped Land,9-Taxable,.56,16R03,R1,LOT 203,8-Electric,-,-
"$35,650",16.3.2.22-3,16732200317940,E OF PA RT 209,Smithfield,911-Undevelped Land,9-Taxable,3.13,16C05,B1,LOT 2,8-Electric,-,-
"$1,300",16.3A.1.17,16732203207752,GREEN MOUNTAIN DR DR,Smithfield,912-Non-Perk,9-Taxable,.15,16R10,R1,LOT 32B,8-Electric,-,-
"$13,770",16.3A.1.23,16732203216378,GREEN MOUNTAIN DR,Smithfield,913-Developments,9-Taxable,.29,16R10,R1, ,8-Electric,-,-
$0,16.5.1.6-3,16732303301374,PA RT 402,Smithfield,100-Reference,8-Reference Parcel, ,9999,C1, ,5-Well,6-SEPTIC,8-Electric
"$9,650",16.6.2.2-1,16731304547951,PINE LN,Smithfield,911-Undevelped Land,9-Taxable,.24,16R02,R1, ,8-Electric,5-WELL,6-SEPTIC
"$9,500",16.6.2.20,16731304546898,PINE LN,Smithfield,911-Undevelped Land,9-Taxable,.20,16R02,R1, ,8-Electric,5-WELL,6-SEPTIC
"$2,100",16.6C.1.80,16731304622716,FREDA LN,Smithfield,912-Non-Perk,9-Taxable,.40,16R03,R1,LOT 22 BLK A,8-Electric,-,-
"$2,070",16.6C.1.81,16731304622657,FREDA LN,Smithfield,912-Non-Perk,9-Taxable,.38,16R03,R1,LOT 23 BLK A,8-Electric,-,-
"$10,130",16.7C.1.40,16731202974341,LAWTON RD,Smithfield,913-Developments,9-Taxable,.35,16R03,R1,LOT 1 BLK G,8-Electric,-,-
"$4,780",16.94096.12T,16731100571550T12,182 SMITHFIELD CT,Smithfield,141-Mobile Homes/Parks,9-Taxable, ,16C07TP,C1, ,1-All Public,-,-
"$9,540",17.1.3.37,17639304823899,LR 169,Stroud,911-Undevelped Land,9-Taxable,.09,17R05,R-1,LOT 14,8-Electric,-,-
"$12,720",17.1.3.39,17639304824973,LR 169,Stroud,911-Undevelped Land,9-Taxable,.09,17R05,R-1,LOT 16,8-Electric,-,-
"$9,540",17.1.3.40,17639304825915,LR 169,Stroud,911-Undevelped Land,9-Taxable,.09,17R05,R-1,LOT 17,8-Electric,-,-
"$9,540",17.1.3.41,17639304825958,LR 169,Stroud,911-Undevelped Land,9-Taxable,.09,17R05,R-1,LOT 18,8-Electric,-,-
"$4,660",17.11.1.30-1T,17639001456743T1,RT 209,Stroud,141-Mobile Homes/Parks,9-Taxable, ,17R01M, ,YELLOW,8-Electric,6-SEPTIC,5-WELL
"$7,480",17.11.1.50-2T,17639003143200T2,2227 W MAIN ST,Stroud,141-Mobile Homes/Parks,9-Taxable, ,17C02TP, ,NEW MOON,8-Electric,5-WELL,6-SEPTIC
"$19,000",17.11.2.12,17639003243763,PARK LN,Stroud,911-Undevelped Land,9-Taxable,.20,17R03,R-3,LOT 13,8-Electric,-,-
"$18,800",17.11.4.17,17639002553312,OAKWOOD RD,Stroud,911-Undevelped Land,9-Taxable,.19,17R03,R-2,LOT 7,8-Electric,-,-
"$23,660",17.11.5.24,17639004803793,PA RT 612,Stroud,911-Undevelped Land,9-Taxable,.19,17R01,S-1, ,8-Electric,-,-
"$10,000",17.11.5.25-1,17639004805800,PA RT 612,Stroud,911-Undevelped Land,9-Taxable,1.50,17R01,S-1, ,8-Electric,-,-
"$13,090",17.110751,17629900476960,PRIV ROW,Stroud,911-Undevelped Land,9-Taxable,.37,17R01,S-1,PARCEL 2,8-Electric,-,-
$0,17.111879.72T,17638000958463T72,*UNASSIGNED,Stroud,100-Reference,8-Reference Parcel, ,17C12TP,S1,72 DOGWOOD DRIVE,8-Electric,5-WELL,6-SEPTIC
"$17,400",17.12.2.37-1,17639008889807,SOUTH OF FRITZ AVE,Stroud,911-Undevelped Land,9-Taxable,.20,17R02,R-2,INC OTHER PARCELS,8-Electric,-,-
"$1,430",17.12.7.32-1-11T,17639012874195T11,38 LUDWIG LN,Stroud,141-Mobile Homes/Parks,9-Taxable, ,17C10TP, ,NASHUA BLUE/WHITE,1-All Public,-,-
"$3,000",17.12A.1.15,17639002655354,RAMEGWA RIDGE,Stroud,912-Non-Perk,9-Taxable,.83,17R03,R-2,LOT 107 SEC B,8-Electric,-,-
"$2,440",17.12A.1.16,17639002654338,RAMEGWA RIDGE,Stroud,912-Non-Perk,9-Taxable,.47,17R03,R-2,LOT 108 SEC B,8-Electric,-,-
"$2,530",17.12A.1.17,17639002653421,RAMEGWA RIDGE,Stroud,912-Non-Perk,9-Taxable,.52,17R03,R-2,LOT 109 SEC B,8-Electric,-,-
"$2,520",17.12A.1.18,17639002652417,RAMEGWA RIDGE,Stroud,912-Non-Perk,9-Taxable,.51,17R03,R-2,LOT 110 SEC B,8-Electric,-,-
"$26,460",17.14.1.35-24,17639101158998,SKY PINE WAY,Stroud,911-Undevelped Land,9-Taxable,.39,17R04,R-1,LOT 42,8-Electric,-,-
"$1,330",17.15.2.19-1,17730201156877,PARADISE TR,Stroud,911-Undevelped Land,9-Taxable,.03,17R02,S-1,RESIDUAL AC ON BRODH,-,-,8-Electric
"$21,410",17.15D.1.59,17639201269641,CANTERBURY LN,Stroud,911-Undevelped Land,9-Taxable,.67,17R07,R-1,LOT 42 SEC C,1-All Public,-,-
"$16,420",17.15E.1.169,17638202853067,SADDLEWOOD DR,Stroud,911-Undevelped Land,9-Taxable,.33,17R07,R-1,LOT 169 SEC E,5-Well,6-SEPTIC,8-Electric
"$13,700",17.16.2.20,17638204712347,LAUREL CRSG,Stroud,911-Undevelped Land,9-Taxable,1.37,17R07,S-1,LOT 12,8-Electric,-,-
"$14,770",17.16.3.25,17638102680609,319 FREDERICK AVE,Stroud,911-Undevelped Land,9-Taxable,.61,17R04,S-1,LOT 1072,8-Electric,-,-
"$15,750",17.16.3.26,17638102588676,319 FREDERICK AVE,Stroud,911-Undevelped Land,9-Taxable,.75,17R04,S-1,LOT 1070,8-Electric,-,-
"$27,720",17.16A.1.122,17638102679222,PINEWOOD LN,Stroud,911-Undevelped Land,9-Taxable,.48,17R04,S-1,LOT 148 BLK B,8-Electric,-,-
"$24,080",17.16A.1.138,17638102569454,PINEWOOD LN,Stroud,911-Undevelped Land,9-Taxable,.22,17R04,S-1,1/2 LOT 164 BLK A,8-Electric,-,-
"$12,180",17.16A.1.140,17638102568335,PINEWOOD,Stroud,911-Undevelped Land,9-Taxable,.24,17R04,S-1,LOT 166 BLK A,8-Electric,-,-
"$27,020",17.16A.1.141,17638102568220,PINEWOOD/LARKSPUR,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 167 SEC G,8-Electric,-,-
"$27,440",17.16A.1.149,17638102558732,HEATHROW LN,Stroud,911-Undevelped Land,9-Taxable,.46,17R04,S-1,LOT 179 BLK G,8-Electric,-,-
"$34,160",17.16A.1.152,17638102652614,LARKSPUR DR,Stroud,911-Undevelped Land,9-Taxable,.94,17R04,S-1,LOT 184 BLK H,8-Electric,-,-
"$27,440",17.16A.1.64,17638102658647,HEDGEROW LN,Stroud,911-Undevelped Land,9-Taxable,.46,17R04,S-1,LOT 69 BLK D,8-Electric,-,-
"$13,790",17.16A.1.65,17638102659715,HEDGEROW LN,Stroud,911-Undevelped Land,9-Taxable,.47,17R04,S-1,LOT 68 BLK D,8-Electric,-,-
"$27,300",17.16A.1.66,17638102659883,HEDGEROW LN,Stroud,911-Undevelped Land,9-Taxable,.45,17R04,S-1,LOT 67 BLK D,8-Electric,-,-
"$27,720",17.16A.1.67,17638102750950,HEDGEROW LN,Stroud,911-Undevelped Land,9-Taxable,.48,17R04,S-1,LOT 66 BLK D,8-Electric,-,-
"$27,020",17.16A.1.81,17638102669191,WOODRUFF LN,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 78 BLK D,8-Electric,-,-
"$27,020",17.16A.1.82,17638102669023,WOODRUFF LN,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 77 BLK D,8-Electric,-,-
"$27,020",17.16A.1.83,17638102658955,WOODRUFF LN,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 76 BLK D,8-Electric,-,-
"$27,020",17.16A.1.84,17638102657886,WOODRUFF LN,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 75 BLK D,8-Electric,-,-
"$27,020",17.16A.1.85,17638102657719,WOODRUFF LN,Stroud,911-Undevelped Land,9-Taxable,.43,17R04,S-1,LOT 74 BLK D,8-Electric,-,-
"$27,720",17.16A.1.87,17638102655663,LARKSPUR/WOODRUFF,Stroud,911-Undevelped Land,9-Taxable,.48,17R04,S-1,LOT 72 BLK D,8-Electric,-,-
"$14,960",17.3A.1.14,17730204739862,ALWEN AVE,Stroud,913-Developments,9-Taxable,.37,17R05,R2,LOT 2,8-Electric,-,-
"$17,520",17.3A.1.25,17730202755660,T 508,Stroud,913-Developments,9-Taxable,.69,17R05,R2,LOT 20,8-Electric,-,-
$0,17.4.1.32-15T,17730218405602T15,163 MCKINLEY AVE,Stroud,100-Reference,8-Reference Parcel, ,17C09TP,R3, ,8-Electric,6-SEPTIC,2-PUBLIC WATER
"$35,000",17.8.1.40,17720900561951,PA RT 191 RD,Stroud,911-Undevelped Land,9-Taxable,1.00,17R01,O-1, ,8-Electric,-,-
"$30,240",17.9.1.6,17720900427950,PA RT 191,Stroud,911-Undevelped Land,9-Taxable,.66,17R01,O-1, ,-,-,-
"$23,710",17.94678,17639300458188,CHERRY LN,Stroud,911-Undevelped Land,9-Taxable,.48,17R06,S-1,SPRING HSE LOT,5-Well,6-SEPTIC,8-Electric
"$29,350",17.94809,17638100952731,WINESAP LN,Stroud,911-Undevelped Land,9-Taxable,1.59,17R04,R-1,UNKNOWN PARCEL,8-Electric,-,-
"$9,430",18-1.1.11.5-2,18730119712234,N FIRST ST,Stroudsburg,911-Undevelped Land,9-Taxable,1.23,18C04,I-1, ,1-All Public,-,-
"$21,260",18-1.1.7.36-1,18730119620088,540 N 5TH ST,Stroudsburg,911-Undevelped Land,9-Taxable,.41,18R02,R-2, ,1-All Public,-,-
"$5,300",18-1.1.7.36-2,18730119610882,N THIRD ST,Stroudsburg,911-Undevelped Land,9-Taxable,.04,18R01,R-2, ,1-All Public,-,-
"$12,510",19.110378,19633401259771,WALTHER RD,Tobyhanna,911-Undevelped Land,9-Taxable,.17,19R13,RR,LOT 20 BLK 14,8-Electric,-,-
